,hHostNameFinal
607,Rangifer_tarandus
608,Raphicerus_sharpei
609,Rattus_exulans
610,Rattus_fuscipes
611,Rattus_losea
612,Rattus_norvegicus
613,Rattus_rattus
614,Rattus_tanezumi
615,Rattus_tiomanicus
616,Redunca_arundinum
617,Redunca_fulvorufula
618,Reithrodontomys_fulvescens
619,Reithrodontomys_megalotis
620,Reithrodontomys_mexicanus
621,Rhabdomys_pumilio
622,Rhinolophus_affinis
623,Rhinolophus_blasii
624,Rhinolophus_eloquens
625,Rhinolophus_euryale
626,Rhinolophus_ferrumequinum
627,Rhinolophus_hildebrandti
628,Rhinolophus_lepidus
629,Rhinolophus_macrotis
630,Rhinolophus_mehelyi
631,Rhinolophus_pearsonii
632,Rhinolophus_pusillus
633,Rhinolophus_rouxii
634,Rhinolophus_sinicus
635,Rhogeessa_parvula
636,Rhombomys_opimus
637,Rhynchonycteris_naso
638,Rousettus_aegyptiacus
639,Rousettus_amplexicaudatus
640,Rousettus_leschenaultii
641,Rousettus_madagascariensis
642,Rupicapra_pyrenaica
643,Rupicapra_rupicapra
644,Rusa_unicolor
645,Saccolaimus_flaviventris
646,Saccolaimus_saccolaimus
647,Saguinus_geoffroyi
648,Saguinus_labiatus
649,Saguinus_midas
650,Saguinus_mystax
651,Saguinus_nigricollis
652,Saguinus_oedipus
653,Saiga_tatarica
654,Saimiri_sciureus
655,Sciurus_carolinensis
656,Sciurus_granatensis
657,Sciurus_griseus
658,Sciurus_niger
659,Sciurus_variegatoides
660,Sciurus_vulgaris
661,Scotophilus_kuhlii
662,Scotophilus_nigrita
663,Semnopithecus_entellus
664,Setonix_brachyurus
665,Sigmodon_alstoni
666,Sigmodon_hispidus
667,Sigmodon_toltecus
668,Sooretamys_angouya
669,Sorex_araneus
670,Spermophilus_beecheyi
671,Spermophilus_citellus
672,Spermophilus_columbianus
673,Spermophilus_fulvus
674,Spermophilus_lateralis
675,Spermophilus_parryii
676,Spermophilus_richardsonii
677,Spermophilus_tridecemlineatus
678,Spermophilus_undulatus
679,Spermophilus_variegatus
680,Stenella_coeruleoalba
681,Sturnira_lilium
682,Sturnira_ludovici
683,Sturnira_tildae
684,Suncus_murinus
685,Suricata_suricatta
686,Sus_scrofa
687,Syconycteris_australis
688,Sylvicapra_grimmia
689,Sylvilagus_aquaticus
690,Sylvilagus_audubonii
691,Sylvilagus_bachmani
692,Sylvilagus_brasiliensis
693,Sylvilagus_floridanus
694,Sylvilagus_nuttallii
695,Syncerus_caffer
696,Tadarida_brasiliensis
697,Tadarida_condylura
698,Tadarida_plicata
699,Tadarida_pumila
700,Tadarida_teniotis
701,Tamandua_tetradactyla
702,Tamias_amoenus
703,Tamias_minimus
704,Tamias_sibiricus
705,Tamias_striatus
706,Tamias_umbrinus
707,Tamiasciurus_hudsonicus
708,Taphozous_melanopogon
